"sex","centile_n","centile_weight","par0","par1"
"male",83,"c83",0.021,4.2
"female",84,"c84",0.03,5.7
"male",84,"c84",0.024,4.5
"female",85,"c85",0.03,5.1
"male",85,"c85",0.024,4.5
"female",86,"c86",0.033,5.7
"male",86,"c86",0.024,4.2
"female",87,"c87",0.033,5.1
"male",87,"c87",0.027,4.5
"female",88,"c88",0.036,5.7
"male",88,"c88",0.027,4.2
"female",89,"c89",0.036,5.1
"male",89,"c89",0.03,4.5
"female",90,"c90",0.039,5.4
"male",90,"c90",0.03,4.2
"female",91,"c91",0.039,5.1
"male",91,"c91",0.033,4.5
"female",92,"c92",0.042,5.1
"male",92,"c92",0.036,4.8
"female",93,"c93",0.045,5.4
"male",93,"c93",0.036,4.5
"female",94,"c94",0.048,5.4
"male",94,"c94",0.039,4.5
"female",95,"c95",0.051,5.4
"male",95,"c95",0.042,4.5
"female",96,"c96",0.054,5.1
"male",96,"c96",0.045,4.5
"female",97,"c97",0.06,5.4
"male",97,"c97",0.048,4.5
"female",98,"c98",0.066,5.4
"male",98,"c98",0.054,4.5
"female",99,"c99",0.075,5.1
"male",99,"c99",0.066,5.1
"female",100,"c100",0.108,5.4
"male",100,"c100",0.093,5.1
