"sex","age","delta","g","adj_formula_fed","intake_ref","act","intake_act"
"female",58,9.98957810295141,-51.4948513683562,1.14301737877085,993.096949636353,0.99,983.16598013999
"female",59,9.98904495299115,-51.9190563006796,1.1419425460189,995.178968011364,0.99,985.22717833125
"female",60,9.98850531927034,-52.2859787679344,1.1408962943661,997.14471686097,0.99,987.17326969236
"female",61,9.98795897457575,-52.5936103626624,1.13987962594554,998.990120117997,0.99,989.000218916817
"female",62,9.98740593481449,-52.840851971208,1.13889313498009,1000.71255550248,0.99,990.705429947458
"female",63,9.98684689738517,-53.0291533248533,1.13793627227788,1002.31347585096,0.99,992.29034109245
"female",64,9.98628267819698,-53.1604073960642,1.13700828980857,1003.795042658,0.99,993.757092231418
"female",65,9.98571409315912,-53.2365071573061,1.13610843954181,1005.15941741817,0.99,995.107823243988
"female",66,9.98514195818077,-53.2593455810448,1.13523597344723,1006.40876162605,0.99,996.344674009786
"female",67,9.98456708917112,-53.2308156397458,1.1343901434945,1007.5452367762,0.99,997.469784408438
"female",68,9.98399030203937,-53.152810305875,1.13357020165325,1008.5710043632,0.99,998.48529431957
"female",69,9.98341241269471,-53.0272225518977,1.13277539989313,1009.48822588162,0.99,999.393343622807
"female",70,9.98283423704633,-52.8559453502799,1.13200499018379,1010.29906282604,0.99,1000.19607219778
"female",71,9.98225659100342,-52.640871673487,1.13125822449488,1011.00567669101,0.99,1000.8956199241
"female",72,9.98168029047517,-52.3838944939847,1.13053435479604,1011.61022897113,0.99,1001.49412668142
"female",73,9.98110615137079,-52.0869067842386,1.12983263305692,1012.11488116095,0.99,1001.99373234934
"female",74,9.98053498959945,-51.7518015167145,1.12915231124717,1012.52179475504,0.99,1002.39657680749
"female",75,9.97996762107034,-51.3804716638779,1.12849264133644,1012.83313124799,0.99,1002.70479993551
"female",76,9.97940486169267,-50.9748101981945,1.12785287529437,1013.05105213436,0.99,1002.92054161301
"female",77,9.97884752737562,-50.53671009213,1.12723226509061,1013.17771890872,0.99,1003.04594171963
"female",78,9.97829643402839,-50.0680643181499,1.1266300626948,1013.21529306564,0.99,1003.08314013499
"female",79,9.97775239756016,-49.57076584872,1.1260455200766,1013.16593609971,0.99,1003.03427673871
"female",80,9.97721623388013,-49.0467076563058,1.12547788920565,1013.03180950548,0.99,1002.90149141042
"female",81,9.97668875889748,-48.4977827133731,1.1249264220516,1012.81507477753,0.99,1002.68692402975
"female",82,9.97617078852142,-47.9258839923874,1.1243903705841,1012.51789341043,0.99,1002.39271447632
"female",83,9.97566313866113,-47.3329044658144,1.12386898677279,1012.14242689875,0.99,1002.02100262976
"female",84,9.97516662522581,-46.7207371061198,1.12336152258731,1011.69083673707,0.99,1001.5739283697
"female",85,9.97468206412464,-46.0912748857692,1.12286722999733,1011.16528441996,0.99,1001.05363157576
"female",86,9.97421027126682,-45.4464107772282,1.12238536097248,1010.56793144198,0.99,1000.46225212756
"female",87,9.97375206256154,-44.7880377529625,1.12191516748241,1009.90093929771,0.99,999.801929904733
"female",88,9.97330825391799,-44.1180487854377,1.12145590149677,1009.16646948172,0.99,999.074804786906
"female",89,9.97287966124536,-43.4383368471195,1.1210068149852,1008.36668348859,0.99,998.283016653703
"female",90,9.97246710045285,-42.7507949104736,1.12056715991736,1007.50374281288,0.99,997.428705384751
"female",91,9.97207138744963,-42.0573159479655,1.12013618826289,1006.57980894917,0.99,996.514010859674
"female",92,9.97169346610469,-41.3597272210709,1.11971318397461,1005.59712553618,0.99,995.541154280822
"female",93,9.97133569808014,-40.6591279140309,1.11929778537876,1004.55884636934,0.99,994.513257905646
"female",94,9.97100132768183,-39.9561639483673,1.11888985141582,1003.46869185987,0.99,993.43400494127
"female",95,9.97069361255069,-39.2514743976418,1.1184892443594,1002.33039097953,0.99,992.30708706973
"female",96,9.97041581032767,-38.5456983354162,1.11809582648307,1001.14767270006,0.99,991.13619597306
"female",97,9.97017117865373,-37.8394748352523,1.11770946006042,999.924265993227,0.99,989.925023333294
"female",98,9.9699629751698,-37.1334429707119,1.11733000736503,998.663899830776,0.99,988.677260832469
"female",99,9.96979445751684,-36.4282418153567,1.11695733067049,997.370303184462,0.99,987.396600152617
"female",100,9.96966888333579,-35.7245104427487,1.11659129225038,996.047205026035,0.99,986.086732975775
"female",101,9.96958951026761,-35.0228879264495,1.11623175437828,994.698334327248,0.99,984.751350983976
"female",102,9.96955959595323,-34.324013340021,1.11587857932779,993.327420059854,0.99,983.394145859255
"female",103,9.9695823980336,-33.6285257570249,1.11553162937247,991.938191195604,0.99,982.018809283648
"female",104,9.96966117414968,-32.9370642510231,1.11519076678593,990.534376706251,0.99,980.629032939189
"female",105,9.9697991819424,-32.2502678955773,1.11485585384173,989.119705563548,0.99,979.228508507912
"female",106,9.96999967905272,-31.5687757642493,1.11452675281347,987.697906739246,0.99,977.820927671853
"female",107,9.97026592312158,-30.8932269306009,1.11420332597473,986.272709205097,0.99,976.409982113046
"female",108,9.97060117178993,-30.2242604681939,1.11388543559909,984.847841932855,0.99,974.999363513526
"female",109,9.97100868269872,-29.5625154505902,1.11357294396014,983.42703389427,0.99,973.592763555328
"female",110,9.97149171348889,-28.9086309513514,1.11326571333147,982.014014061097,0.99,972.193873920486
"female",111,9.97205352180139,-28.2632460440394,1.11296360598665,980.612511405085,0.99,970.806386291035
"female",112,9.97269736527717,-27.6269998022159,1.11266648419927,979.226254897989,0.99,969.433992349009
"female",113,9.97342650155718,-27.0005312994429,1.11237421024291,977.85897351156,0.99,968.080383776445
"female",114,9.97424418828235,-26.384479609282,1.11208664639116,976.514396217551,0.99,966.749252255375
"female",115,9.97515368309365,-25.779483805295,1.11180365491761,975.196251987713,0.99,965.444289467836
"female",116,9.97615824363201,-25.1861829610437,1.11152509809583,973.908269793799,0.99,964.169187095862
"female",117,9.97726112753839,-24.60521615009,1.11125083819941,972.654178607563,0.99,962.927636821487
"female",118,9.97846559245373,-24.0372224459956,1.11098073750194,971.437707400754,0.99,961.723330326746
